LPR报价 1年期 5年期以上
2025-02-20 3.10% 3.60%
2025-01-20 3.10% 3.60%
2024-12-20 3.10% 3.60%
2024-11-20 3.10% 3.60%
2024-10-21 3.10% 3.60%
2024-09-20 3.35% 3.85%
2024-08-20 3.35% 3.85%
2024-07-22 3.35% 3.85%
2024-06-20 3.45% 3.95%
2024-05-20 3.45% 3.95%
2024-04-22 3.45% 3.95%
2024-03-20 3.45% 3.95%
2024-02-20 3.45% 3.95%
2024-01-22 3.45% 4.20%
2023-12-20 3.45% 4.20%
2023-11-20 3.45% 4.20%
2023-10-20 3.45% 4.20%
2023-09-20 3.45% 4.20%
2023-08-21 3.45% 4.20%
2023-07-20 3.55% 4.20%
2023-06-20 3.55% 4.20%
2023-05-22 3.65% 4.30%
2023-04-20 3.65% 4.30%
2023-03-20 3.65% 4.30%
2023-02-20 3.65% 4.30%
2023-01-20 3.65% 4.30%
2022-12-20 3.65% 4.30%
2022-11-21 3.65% 4.30%
2022-10-20 3.65% 4.30%
2022-09-20 3.65% 4.30%
2022-08-22 3.65% 4.30%
2022-07-20 3.70% 4.45%
2022-06-20 3.70% 4.45%
2022-05-20 3.70% 4.45%
2022-04-20 3.70% 4.60%
2022-03-21 3.70% 4.60%
2022-02-21 3.70% 4.60%
2022-01-20 3.70% 4.60%
2021-12-20 3.80% 4.65%
2021-11-22 3.85% 4.65%
2021-10-20 3.85% 4.65%
2021-09-22 3.85% 4.65%
2021-08-20 3.85% 4.65%
2021-07-20 3.85% 4.65%
2021-06-21 3.85% 4.65%
2021-05-20 3.85% 4.65%
2021-04-20 3.85% 4.65%
2021-03-22 3.85% 4.65%
2021-02-22 3.85% 4.65%
2021-01-20 3.85% 4.65%
2020-12-21 3.85% 4.65%
2020-11-20 3.85% 4.65%
2020-10-20 3.85% 4.65%
2020-09-21 3.85% 4.65%
2020-08-20 3.85% 4.65%
2020-07-20 3.85% 4.65%
2020-06-22 3.85% 4.65%
2020-05-20 3.85% 4.65%
2020-04-20 3.85% 4.65%
2020-03-20 4.05% 4.75%
2020-02-20 4.05% 4.75%
2020-01-20 4.15% 4.80%
2019-12-20 4.15% 4.80%
2019-11-20 4.15% 4.80%
2019-10-21 4.20% 4.85%
2019-09-20 4.20% 4.85%
2019-08-20 4.25% 4.85%
